Train data: data/Train1.txt
Max epochs: 10000
Execution time: 7.252
Test data: data/Test1.txt
Network{LEARNING_RATE=1.0, nInputNodes=4, nHiddenLayers=2, hiddenLayersSizes=[]}
Real value: 4720.58 | Predicted value: 5152.148196470571
Real value: 4547.82 | Predicted value: 4492.5501934889335
Real value: 2110.13 | Predicted value: 2215.5585820146302
Real value: 2099.1 | Predicted value: 2211.07844885533
Real value: 2983.61 | Predicted value: 2793.2131724975643
Real value: 2928.11 | Predicted value: 2777.08601628532
Real value: 2553.33 | Predicted value: 2486.864037798113
Real value: 4071.73 | Predicted value: 4000.9287944413
Real value: 2927.26 | Predicted value: 2768.8236735924256
Real value: 1891.3 | Predicted value: 2161.291286489097
Real value: 2261.61 | Predicted value: 2350.853771885275
Real value: 1860.57 | Predicted value: 2122.183080083088
Real value: 2864.24 | Predicted value: 2763.723687279349
Real value: 5529.529999999999 | Predicted value: 5610.7941110435095
Real value: 4422.22 | Predicted value: 4397.520302229534
Real value: 4555.88 | Predicted value: 4710.259894375762
Real value: 2792.27 | Predicted value: 2766.162331085499
Real value: 4905.550000000001 | Predicted value: 5020.037167020159
Real value: 3347.5 | Predicted value: 3469.7172845662008
Real value: 4272.72 | Predicted value: 4380.325511871877
Real value: 4634.290000000001 | Predicted value: 4697.48298293275
Real value: 1826.08 | Predicted value: 2120.834754997406
Real value: 2620.27 | Predicted value: 2577.566435608712
Real value: 2015.06 | Predicted value: 2186.0754563259306
Real value: 3401.42 | Predicted value: 3211.9757601122774
Real value: 4701.279999999999 | Predicted value: 4793.1383468934755
Real value: 2221.16 | Predicted value: 2280.8818157078767
Real value: 1874.52 | Predicted value: 2137.474934106934
Real value: 3854.35 | Predicted value: 3748.26696413904
Real value: 3177.33 | Predicted value: 3044.9001747899565
Real value: 2290.13 | Predicted value: 2365.655636612864
Real value: 2810.69 | Predicted value: 2728.293377200589
Real value: 6831.87 | Predicted value: 6389.1639363764925
Real value: 4584.379999999999 | Predicted value: 4748.610244686126
Real value: 6012.87 | Predicted value: 5975.790379746761
Real value: 4932.18 | Predicted value: 5030.185276086311
Real value: 3914.74 | Predicted value: 3880.985183720475
Real value: 2055.25 | Predicted value: 2200.724718973591
Real value: 5099.53 | Predicted value: 5122.117686057291
Real value: 3372.41 | Predicted value: 3298.300435608834
Real value: 3990.55 | Predicted value: 3992.246776206353
Real value: 3362.1399999999994 | Predicted value: 3215.0237588351138
Real value: 4535.03 | Predicted value: 4542.260289036012
Real value: 3076.49 | Predicted value: 2824.586135285851
Real value: 4428.65 | Predicted value: 4575.843404655367
Real value: 1675.16 | Predicted value: 2067.8896232179277
Real value: 6604.63 | Predicted value: 6295.157217246458
Real value: 2299.16 | Predicted value: 2318.1736164174404
Real value: 3537.4 | Predicted value: 3452.3845804638886
Real value: 3335.45 | Predicted value: 3170.5892497814903
Real value: 7255.22 | Predicted value: 6495.797341317028
Real value: 6601.37 | Predicted value: 6300.070103158193
Real value: 1957.51 | Predicted value: 2167.4500219131723
Real value: 3755.61 | Predicted value: 3930.561756281557
Real value: 4135.26 | Predicted value: 4094.5118034735374
Real value: 5183.31 | Predicted value: 5228.819480690694
Real value: 2686.52 | Predicted value: 2622.7137698727784
Real value: 5823.6 | Predicted value: 5844.781984557007
Real value: 3998.5 | Predicted value: 3968.6012469467746
Real value: 4029.4 | Predicted value: 4065.4753845438313
Real value: 3737.94 | Predicted value: 3654.549051836758
Real value: 3012.15 | Predicted value: 2904.6511308672925
Real value: 2597.17 | Predicted value: 2550.2254410383575
Real value: 5374.17 | Predicted value: 5449.817836101462
Real value: 3934.4 | Predicted value: 3953.3587915745047
Real value: 2055.79 | Predicted value: 2241.6907501691567
Real value: 2541.98 | Predicted value: 2480.48718398894
Real value: 4469.14 | Predicted value: 4453.329185715472
Real value: 2757.12 | Predicted value: 2658.6003873773266
Real value: 7094.76 | Predicted value: 6472.686433882984
Real value: 2726.64 | Predicted value: 2658.3371452601855
Real value: 2359.34 | Predicted value: 2376.2790453390917
Real value: 5518.44 | Predicted value: 5550.3146969157715
Real value: 3927.28 | Predicted value: 3797.440771353591
Real value: 2494.59 | Predicted value: 2484.8575036571915
Real value: 5707.359999999999 | Predicted value: 5812.691306537193
Real value: 1996.27 | Predicted value: 2180.2851497411903
Real value: 6913.55 | Predicted value: 6413.841744073388
Real value: 5213.25 | Predicted value: 5332.721031386425
Real value: 5044.97 | Predicted value: 5252.958310130651
Real value: 2637.73 | Predicted value: 2536.5070567748403
Real value: 5919.28 | Predicted value: 5912.70188207027
Real value: 5353.22 | Predicted value: 5429.380835555061
Real value: 4703.02 | Predicted value: 4897.846946682545
Real value: 3897.86 | Predicted value: 3911.988781845451
Real value: 1849.71 | Predicted value: 2157.301619826944
Real value: 6682.03 | Predicted value: 6332.480787742488
Real value: 2863.83 | Predicted value: 2816.410432620526
Real value: 5497.43 | Predicted value: 5633.500925406836
Real value: 4346.1900000000005 | Predicted value: 4370.127813046449
Real value: 2120.8 | Predicted value: 2270.3943902081037
Real value: 1851.07 | Predicted value: 2129.26348560664
Real value: 3065.99 | Predicted value: 3135.7458959814603
Real value: 5727.92 | Predicted value: 5817.358701833145
Real value: 4265.8 | Predicted value: 4374.661616712293
Real value: 3124.13 | Predicted value: 3004.6305265826977
Real value: 3422.18 | Predicted value: 3367.027883800908
Real value: 4899.39 | Predicted value: 4957.2269688889
Real value: 5356.86 | Predicted value: 5492.111074249231
Real value: 7261.37 | Predicted value: 6516.858995192887
Real value: 4147.68 | Predicted value: 4167.379833094505
Error rate: 2.654958753803132
