Train data: data/Train1.txt
Max epochs: 10000
Execution time: 8.196
Test data: data/Test2.txt
Network{LEARNING_RATE=0.5, nInputNodes=4, nHiddenLayers=2, hiddenLayersSizes=[]}
Real value: 6514.44 | Predicted value: 6271.148218674838
Real value: 4324.04 | Predicted value: 4376.038133261238
Real value: 4739.22 | Predicted value: 4883.550461349794
Real value: 4095.41 | Predicted value: 4892.913707899454
Real value: 4374.66 | Predicted value: 4502.681161806201
Real value: 4244.6 | Predicted value: 4489.609648260944
Real value: 4437.82 | Predicted value: 4606.143933904722
Real value: 3336.76 | Predicted value: 3274.5148832113973
Real value: 3087.1899999999996 | Predicted value: 2975.7160412556013
Real value: 4029.39 | Predicted value: 4044.05351972794
Real value: 2972.79 | Predicted value: 2866.8417797631505
Real value: 2684.37 | Predicted value: 2582.3288233881144
Real value: 4304.41 | Predicted value: 4341.051068223871
Real value: 2900.22 | Predicted value: 2776.191431340174
Real value: 4907.97 | Predicted value: 4968.715787191521
Real value: 3594.32 | Predicted value: 3543.8698561486
Real value: 1918.87 | Predicted value: 2159.9897860613387
Real value: 3526.71 | Predicted value: 3316.26120192909
Real value: 4811.86 | Predicted value: 4869.608933247591
Real value: 6022.18 | Predicted value: 6000.273169619994
Real value: 4321.12 | Predicted value: 4436.3987534036805
Real value: 2448.11 | Predicted value: 2441.697809209989
Real value: 2061.11 | Predicted value: 2193.5731501327364
Real value: 6738.92 | Predicted value: 6361.799193415435
Real value: 4035.79 | Predicted value: 3890.0674250123097
Real value: 4168.76 | Predicted value: 4214.12530594695
Real value: 3619.78 | Predicted value: 3546.196957081692
Real value: 3877.93 | Predicted value: 3832.927703091881
Real value: 2073.31 | Predicted value: 2235.052589669868
Real value: 3331.84 | Predicted value: 3249.278479143847
Real value: 1978.39 | Predicted value: 2161.127746832317
Real value: 6097.29 | Predicted value: 6050.436515645491
Real value: 2650.41 | Predicted value: 2582.939473048894
Real value: 1802.07 | Predicted value: 2105.5584980053177
Real value: 4835.6 | Predicted value: 4974.993056642124
Real value: 5836.88 | Predicted value: 5789.08778888295
Real value: 3578.64 | Predicted value: 3502.084989861304
Real value: 4198.04 | Predicted value: 4196.283815729966
Real value: 4473.85 | Predicted value: 4563.649546459897
Real value: 3007.52 | Predicted value: 2839.50212639483
Real value: 1752.73 | Predicted value: 2067.7495424675453
Real value: 4970.4 | Predicted value: 5139.444349765219
Real value: 1928.37 | Predicted value: 2131.72262604244
Real value: 3965.92 | Predicted value: 3849.305725175438
Real value: 6272.01 | Predicted value: 6129.5499815212315
Real value: 2768.76 | Predicted value: 2679.750019883729
Real value: 2368.61 | Predicted value: 2408.1765781453455
Real value: 6986.26 | Predicted value: 6455.280995853802
Real value: 3297.39 | Predicted value: 3138.252397046638
Real value: 3517.58 | Predicted value: 3541.14159359651
Real value: 4681.39 | Predicted value: 4663.517393540252
Real value: 5044.92 | Predicted value: 5108.090318661878
Real value: 2565.78 | Predicted value: 2520.6436764344685
Real value: 2997.65 | Predicted value: 2918.771497262821
Real value: 2824.88 | Predicted value: 2707.1051105757056
Real value: 2902.4 | Predicted value: 2879.8767863785415
Real value: 6460.56 | Predicted value: 6249.915154172254
Real value: 6389.89 | Predicted value: 6216.222811935497
Real value: 5091.79 | Predicted value: 5168.939702512305
Real value: 2405.69 | Predicted value: 2394.2165734788236
Real value: 3446.41 | Predicted value: 3377.94034366455
Real value: 3050.8099999999995 | Predicted value: 2947.1402819667182
Real value: 5208.36 | Predicted value: 5384.516209234933
Real value: 4241.34 | Predicted value: 4303.546992304459
Real value: 5136.98 | Predicted value: 5245.940964638395
Real value: 4445.09 | Predicted value: 4573.185224030936
Real value: 4989.41 | Predicted value: 5068.004843272061
Real value: 6171.51 | Predicted value: 6104.499512710884
Real value: 5414.45 | Predicted value: 5427.486856638423
Real value: 2111.73 | Predicted value: 2261.8076714840195
Real value: 4110.86 | Predicted value: 4149.825692247732
Real value: 5017.36 | Predicted value: 5087.200939157787
Real value: 3738.51 | Predicted value: 3703.6246769162635
Real value: 2413.55 | Predicted value: 2415.7202459980617
Real value: 5436.879999999999 | Predicted value: 5511.823005125132
Real value: 4355.92 | Predicted value: 4468.386254469638
Real value: 2024.51 | Predicted value: 2198.2674873465435
Real value: 3300.12 | Predicted value: 3221.005800103593
Real value: 6245.18 | Predicted value: 6139.916944493607
Real value: 5909.73 | Predicted value: 5955.620783470238
Real value: 2654.46 | Predicted value: 2597.679030698897
Real value: 2484.96 | Predicted value: 2467.8546879359424
Real value: 3672.29 | Predicted value: 3636.7885533989756
Real value: 5621.0 | Predicted value: 5688.309790541876
Real value: 2107.66 | Predicted value: 2253.493267392286
Real value: 4078.4 | Predicted value: 4115.92349689466
Real value: 4977.84 | Predicted value: 5060.970484035501
Real value: 5611.23 | Predicted value: 5738.712618812968
Real value: 6094.87 | Predicted value: 6030.53328335646
Real value: 2545.24 | Predicted value: 2507.1082322195903
Real value: 3063.55 | Predicted value: 2980.374960264898
Real value: 2588.19 | Predicted value: 2546.371921482749
Real value: 3819.82 | Predicted value: 3813.101040698837
Real value: 4260.53 | Predicted value: 4286.8166034357
Real value: 3979.15 | Predicted value: 4008.116807592464
Real value: 4687.82 | Predicted value: 4838.558059852555
Real value: 3226.05 | Predicted value: 3107.5164109050306
Real value: 1683.63 | Predicted value: 2059.2575140760623
Real value: 6011.02 | Predicted value: 5939.7924439678145
Real value: 2384.41 | Predicted value: 2406.5521758204814
Error rate: 2.1023900472684818
