Train data: data/Train3.txt
Max epochs: 10000
Execution time: 6.645
Test data: data/Test3.txt
Network{LEARNING_RATE=1.0, nInputNodes=4, nHiddenLayers=2, hiddenLayersSizes=[]}
Real value: 2754.26 | Predicted value: 2614.401766999605
Real value: 3366.4299999999994 | Predicted value: 3061.6335537195637
Real value: 6919.41 | Predicted value: 6436.965176075409
Real value: 2846.31 | Predicted value: 2603.7083588917653
Real value: 2147.58 | Predicted value: 2227.503186416266
Real value: 3776.3099999999995 | Predicted value: 3545.442360840543
Real value: 2935.76 | Predicted value: 2732.8152791637876
Real value: 1994.79 | Predicted value: 2129.4453174018045
Real value: 3949.3599999999997 | Predicted value: 3759.7227330857813
Real value: 5155.08 | Predicted value: 5240.88685937662
Real value: 3492.4400000000005 | Predicted value: 3273.7655521249467
Real value: 3585.5 | Predicted value: 3361.028967122257
Real value: 2491.94 | Predicted value: 2372.913927852873
Real value: 3890.6899999999996 | Predicted value: 3627.178112039539
Real value: 3887.5 | Predicted value: 3741.8591327260883
Real value: 6180.17 | Predicted value: 5985.825093484611
Real value: 5187.13 | Predicted value: 5059.4533583669045
Real value: 3196.23 | Predicted value: 2992.9417517219363
Real value: 3156.0 | Predicted value: 2962.51011498512
Real value: 2424.09 | Predicted value: 2348.8314489411478
Real value: 3321.1900000000005 | Predicted value: 3086.7078560817004
Real value: 5263.200000000001 | Predicted value: 5334.159067554401
Real value: 2438.06 | Predicted value: 2393.306303880415
Real value: 3657.27 | Predicted value: 3441.0765547549718
Real value: 1717.89 | Predicted value: 2050.4979031329035
Real value: 3275.22 | Predicted value: 3038.691815324474
Real value: 1825.74 | Predicted value: 2074.6419114652035
Real value: 2872.73 | Predicted value: 2633.2228222525537
Real value: 2990.32 | Predicted value: 2792.6179973838093
Real value: 3464.56 | Predicted value: 3107.322044619703
Real value: 2453.44 | Predicted value: 2369.34280239797
Real value: 1962.86 | Predicted value: 2118.011317833964
Real value: 5458.55 | Predicted value: 5368.77523561682
Real value: 3421.99 | Predicted value: 3169.792587555913
Real value: 3114.68 | Predicted value: 2892.8578197761008
