Train data: data/Train4.txt
Max epochs: 10000
Execution time: 6.426
Test data: data/Test4.txt
Network{LEARNING_RATE=0.5, nInputNodes=4, nHiddenLayers=2, hiddenLayersSizes=[]}
Real value: 2512.85 | Predicted value: 2459.2130283871184
Real value: 2583.79 | Predicted value: 2492.2592356260247
Real value: 3748.7699999999995 | Predicted value: 3650.642430492194
Real value: 3520.65 | Predicted value: 3402.129644662045
Real value: 6673.84 | Predicted value: 6436.134657715317
Real value: 4533.31 | Predicted value: 4657.408869976203
Real value: 3402.3099999999995 | Predicted value: 3269.1599862026196
Real value: 2029.03 | Predicted value: 2178.3156742219394
Real value: 2702.84 | Predicted value: 2599.847496250426
Real value: 4047.41 | Predicted value: 4013.9506062606642
Real value: 2506.19 | Predicted value: 2504.5725086651482
Real value: 2272.25 | Predicted value: 2352.1309927949096
Real value: 2930.92 | Predicted value: 2805.677236394974
Real value: 3196.87 | Predicted value: 3050.497376542058
Real value: 3934.63 | Predicted value: 3854.4418248057254
Real value: 4498.27 | Predicted value: 4433.729383787839
Real value: 1753.19 | Predicted value: 2065.2381082666698
Real value: 3050.21 | Predicted value: 2914.6001339409013
Real value: 5785.19 | Predicted value: 5902.555444816556
Real value: 3533.24 | Predicted value: 3395.9845119566207
Real value: 6318.53 | Predicted value: 6243.062623485597
Real value: 2260.59 | Predicted value: 2279.7497880570713
Real value: 4386.78 | Predicted value: 4400.101354617743
Real value: 5950.95 | Predicted value: 5963.434835846877
Real value: 5370.96 | Predicted value: 5529.350389239149
Real value: 2342.83 | Predicted value: 2369.6542701771796
Real value: 2315.89 | Predicted value: 2324.9848043079364
Real value: 4838.78 | Predicted value: 4966.7122702546985
Real value: 3229.58 | Predicted value: 3103.156149218191
Real value: 3033.93 | Predicted value: 2819.5163396178223
Real value: 3664.19 | Predicted value: 3559.400627770873
Real value: 2069.21 | Predicted value: 2194.8594911191076
Real value: 5775.22 | Predicted value: 5884.5453980694565
Real value: 5471.250000000001 | Predicted value: 5600.905158272753
Real value: 5062.02 | Predicted value: 5095.020392428157
Real value: 5286.39 | Predicted value: 5372.365723818433
Real value: 1729.06 | Predicted value: 2055.05637699158
Real value: 5843.72 | Predicted value: 5941.8582531473085
Real value: 3263.8100000000004 | Predicted value: 3132.215274965185
Real value: 3511.37 | Predicted value: 3387.2393045999343
Real value: 2176.83 | Predicted value: 2272.1014143425828
Real value: 2956.54 | Predicted value: 2780.1772234914924
Real value: 2915.86 | Predicted value: 3012.8162673666357
Real value: 5975.71 | Predicted value: 6045.3883670496725
Real value: 4768.88 | Predicted value: 4825.2647894387865
Real value: 3243.23 | Predicted value: 3152.3537743103634
Real value: 3474.88 | Predicted value: 3340.233240493186
Real value: 2182.38 | Predicted value: 2238.493538098631
Real value: 3076.83 | Predicted value: 2970.755590556163
Real value: 3410.17 | Predicted value: 3279.4661144038046
Real value: 2189.37 | Predicted value: 2260.0401506479443
Real value: 1896.03 | Predicted value: 2105.062007189396
Real value: 2232.56 | Predicted value: 2305.795229609027
Real value: 4719.66 | Predicted value: 4653.297287204528
Real value: 3056.77 | Predicted value: 2829.8617849826496
Real value: 4003.13 | Predicted value: 3858.5531468735307
Real value: 5748.63 | Predicted value: 5656.700724752345
Real value: 4286.12 | Predicted value: 4251.273994878481
Real value: 3128.95 | Predicted value: 2975.2515004462202
Real value: 2266.22 | Predicted value: 2300.8327205894207
Real value: 2098.99 | Predicted value: 2199.9186372185154
Real value: 2995.04 | Predicted value: 2909.188617619572
Real value: 5280.98 | Predicted value: 5236.862385325245
Real value: 2375.01 | Predicted value: 2375.3554213438624
Real value: 4720.17 | Predicted value: 4684.747728317368
Real value: 2721.77 | Predicted value: 2677.2379258170704
Real value: 4639.37 | Predicted value: 4697.714078286775
Real value: 1766.92 | Predicted value: 2275.767311707788
Real value: 3639.8 | Predicted value: 3528.0728926124484
Real value: 1976.96 | Predicted value: 2157.3844671565357
Real value: 3365.15 | Predicted value: 3229.1473769859176
Real value: 5316.82 | Predicted value: 5488.854775250755
Real value: 2553.75 | Predicted value: 2501.0355187892646
Real value: 2749.37 | Predicted value: 2646.216565420573
Real value: 2394.82 | Predicted value: 2398.7223130344355
Real value: 6816.53 | Predicted value: 6481.936587002783
Real value: 2470.63 | Predicted value: 2437.357904417864
Real value: 3545.42 | Predicted value: 3412.734365969081
Real value: 6642.82 | Predicted value: 6387.696878934777
Real value: 4214.1 | Predicted value: 4236.724762243069
Real value: 2141.61 | Predicted value: 2218.7833008307416
Real value: 4881.38 | Predicted value: 5007.227184155153
Real value: 2519.34 | Predicted value: 2475.7563631862404
Real value: 3025.13 | Predicted value: 2854.606326202143
Real value: 5636.520000000001 | Predicted value: 5758.2668488228255
Real value: 5420.9 | Predicted value: 5566.673777902766
Real value: 3689.1400000000003 | Predicted value: 3594.0108235986927
Real value: 4639.32 | Predicted value: 4772.9279794577
Real value: 4789.540000000001 | Predicted value: 4923.0183144783505
Real value: 3587.92 | Predicted value: 3471.888152476619
Real value: 4193.77 | Predicted value: 4141.0117368916935
Real value: 1790.54 | Predicted value: 2067.5729326735072
Real value: 5924.78 | Predicted value: 5840.614101503956
Real value: 2813.04 | Predicted value: 2708.086243979668
Real value: 2206.12 | Predicted value: 2289.036552529275
Real value: 4481.25 | Predicted value: 4595.239087173714
Real value: 2086.52 | Predicted value: 2220.9374945990426
Real value: 3933.38 | Predicted value: 3925.827653613901
Real value: 6267.8 | Predicted value: 6174.926602165687
Real value: 3496.89 | Predicted value: 3276.1586457653534
Error rate: 2.016442482342173
