Train data: data/Train2.txt
Max epochs: 100000
Execution time: 60.194
Test data: data/Test2.txt
Network{LEARNING_RATE=0.5, nInputNodes=4, nHiddenLayers=2, hiddenLayersSizes=[3, 3]}
Real value: 6514.44 | Predicted value: 6339.20739145452
Real value: 4324.04 | Predicted value: 4244.206119673586
Real value: 4739.220000000001 | Predicted value: 4844.390582338134
Real value: 4095.41 | Predicted value: 4760.901474383596
Real value: 4374.66 | Predicted value: 4424.642252506698
Real value: 4244.6 | Predicted value: 4434.380139139847
Real value: 4437.82 | Predicted value: 4546.218790070648
Real value: 3336.76 | Predicted value: 3227.933503568889
Real value: 3087.1899999999996 | Predicted value: 2951.8974878699755
Real value: 4029.3899999999994 | Predicted value: 3916.429606850106
Real value: 2972.79 | Predicted value: 2858.5379646051524
Real value: 2684.37 | Predicted value: 2471.368553954401
Real value: 4304.41 | Predicted value: 4298.898683444621
Real value: 2900.22 | Predicted value: 2741.8912865365864
Real value: 4907.970000000001 | Predicted value: 4796.034767372939
Real value: 3594.32 | Predicted value: 3431.049619238027
Real value: 1918.87 | Predicted value: 2045.2644291245072
Real value: 3526.71 | Predicted value: 3294.351373531327
Real value: 4811.86 | Predicted value: 4692.511396275399
Real value: 6022.18 | Predicted value: 5978.462882111485
Real value: 4321.12 | Predicted value: 4355.647675612903
Real value: 2448.11 | Predicted value: 2453.409845845007
Real value: 2061.11 | Predicted value: 2157.165714830526
Real value: 6738.92 | Predicted value: 6469.84558115835
Real value: 4035.79 | Predicted value: 3863.8996812608802
Real value: 4168.76 | Predicted value: 4160.741382170394
Real value: 3619.78 | Predicted value: 3495.884369123504
Real value: 3877.9299999999994 | Predicted value: 3768.021149259319
Real value: 2073.31 | Predicted value: 2245.342607818146
Real value: 3331.84 | Predicted value: 3167.633808342881
Real value: 1978.39 | Predicted value: 2136.8617074061644
Real value: 6097.29 | Predicted value: 6043.319546134778
Real value: 2650.41 | Predicted value: 2550.6716919008722
Real value: 1802.07 | Predicted value: 1998.5082711053992
Real value: 4835.600000000001 | Predicted value: 4820.870611723384
Real value: 5836.88 | Predicted value: 5784.458566389516
Real value: 3578.6400000000003 | Predicted value: 3453.7857125345963
Real value: 4198.04 | Predicted value: 4070.123800750347
Real value: 4473.85 | Predicted value: 4425.4010530328305
Real value: 3007.52 | Predicted value: 2814.699514041263
Real value: 1752.73 | Predicted value: 2012.4623687828146
Real value: 4970.4 | Predicted value: 5001.313520578098
Real value: 1928.37 | Predicted value: 2048.9356924395524
Real value: 3965.92 | Predicted value: 3813.436542916779
Real value: 6272.01 | Predicted value: 6184.300511656505
Real value: 2768.76 | Predicted value: 2705.380164045513
Real value: 2368.61 | Predicted value: 2360.2578008430223
Real value: 6986.26 | Predicted value: 6580.926096017071
Real value: 3297.39 | Predicted value: 3101.007638002861
Real value: 3517.58 | Predicted value: 3476.701656274626
Real value: 4681.39 | Predicted value: 4483.150118644421
Real value: 5044.92 | Predicted value: 5044.004983528047
Real value: 2565.78 | Predicted value: 2492.7591229342556
Real value: 2997.65 | Predicted value: 2909.1960296561674
Real value: 2824.88 | Predicted value: 2634.2840984984387
Real value: 2902.4 | Predicted value: 2890.9144255759993
Real value: 6460.56 | Predicted value: 6308.061169152118
Real value: 6389.89 | Predicted value: 6262.598725700772
Real value: 5091.79 | Predicted value: 4999.460310938402
Real value: 2405.69 | Predicted value: 2354.7910861695686
Real value: 3446.41 | Predicted value: 3295.4077896588187
Real value: 3050.81 | Predicted value: 2881.3984764058905
Real value: 5208.36 | Predicted value: 5350.48453002409
Real value: 4241.34 | Predicted value: 4113.401664317168
Real value: 5136.98 | Predicted value: 5096.47693019916
Real value: 4445.09 | Predicted value: 4402.467901112248
Real value: 4989.41 | Predicted value: 4891.503248164356
Real value: 6171.51 | Predicted value: 6149.0779247088285
Real value: 5414.450000000001 | Predicted value: 5382.413678485095
Real value: 2111.73 | Predicted value: 2203.9481420268676
Real value: 4110.86 | Predicted value: 4011.2583924478377
Real value: 5017.360000000001 | Predicted value: 5092.104822281183
Real value: 3738.51 | Predicted value: 3656.4513157953093
Real value: 2413.55 | Predicted value: 2433.681903135327
Real value: 5436.88 | Predicted value: 5422.134665523908
Real value: 4355.92 | Predicted value: 4303.679109914368
Real value: 2024.51 | Predicted value: 2193.5451417180493
Real value: 3300.12 | Predicted value: 3168.1367975568965
Real value: 6245.18 | Predicted value: 6160.741728472363
Real value: 5909.73 | Predicted value: 5951.754466597731
Real value: 2654.46 | Predicted value: 2577.4058023387006
Real value: 2484.96 | Predicted value: 2473.484104795825
Real value: 3672.29 | Predicted value: 3559.2265816220097
Real value: 5621.0 | Predicted value: 5590.64849635708
Real value: 2107.66 | Predicted value: 2180.1059054094967
Real value: 4078.3999999999996 | Predicted value: 4058.1987092396166
Real value: 4977.84 | Predicted value: 5058.676255281984
Real value: 5611.23 | Predicted value: 5719.211436696089
Real value: 6094.87 | Predicted value: 6034.329705673106
Real value: 2545.24 | Predicted value: 2499.135326921892
Real value: 3063.55 | Predicted value: 2957.3841124435658
Real value: 2588.19 | Predicted value: 2535.3334733021816
Real value: 3819.8199999999997 | Predicted value: 3681.36380008991
Real value: 4260.53 | Predicted value: 4157.1178683675
Real value: 3979.1499999999996 | Predicted value: 3850.240448797579
Real value: 4687.82 | Predicted value: 4792.380674784904
Real value: 3226.05 | Predicted value: 3100.775955699103
Real value: 1683.63 | Predicted value: 2003.054987163463
Real value: 6011.02 | Predicted value: 5958.742658826212
Real value: 2384.41 | Predicted value: 2428.562937970376
Error rate: 1.983457840462601
