Train data: data/Train3.txt
Max epochs: 100000
Execution time: 57.066
Test data: data/Test3.txt
Network{LEARNING_RATE=0.5, nInputNodes=4, nHiddenLayers=2, hiddenLayersSizes=[3, 3]}
Real value: 2754.26 | Predicted value: 2737.4985320459014
Real value: 3366.4299999999994 | Predicted value: 3404.7058251770095
Real value: 6919.41 | Predicted value: 6860.940327336045
Real value: 2846.31 | Predicted value: 2806.8477965223346
Real value: 2147.58 | Predicted value: 2132.224929087192
Real value: 3776.3099999999995 | Predicted value: 3827.023361504519
Real value: 2935.76 | Predicted value: 2952.8015994591515
Real value: 1994.79 | Predicted value: 1972.439391874403
Real value: 3949.3599999999997 | Predicted value: 3922.4547121385276
Real value: 5155.08 | Predicted value: 5187.754471907729
Real value: 3492.4400000000005 | Predicted value: 3562.230694483504
Real value: 3585.5 | Predicted value: 3638.195426187176
Real value: 2491.94 | Predicted value: 2465.174013847035
Real value: 3890.6899999999996 | Predicted value: 3912.8867274192116
Real value: 3887.5 | Predicted value: 3957.362801723858
Real value: 6180.17 | Predicted value: 6260.814270055233
Real value: 5187.13 | Predicted value: 5165.068658366869
Real value: 3196.23 | Predicted value: 3214.1229638995824
Real value: 3156.0 | Predicted value: 3146.529321287974
Real value: 2424.09 | Predicted value: 2395.5843026260495
Real value: 3321.1900000000005 | Predicted value: 3371.6876362362186
Real value: 5263.200000000001 | Predicted value: 5282.32769313597
Real value: 2438.06 | Predicted value: 2404.675231002635
Real value: 3657.27 | Predicted value: 3724.615781682315
Real value: 1717.89 | Predicted value: 1839.0323724007944
Real value: 3275.22 | Predicted value: 3320.062135321623
Real value: 1825.74 | Predicted value: 1878.38284390174
Real value: 2872.73 | Predicted value: 2866.925319425095
Real value: 2990.32 | Predicted value: 2994.672671080712
Real value: 3464.56 | Predicted value: 3481.296619827657
Real value: 2453.44 | Predicted value: 2388.7115118420406
Real value: 1962.86 | Predicted value: 1951.6573710969901
Real value: 5458.55 | Predicted value: 5463.438479347037
Real value: 3421.99 | Predicted value: 3456.9130721077127
Real value: 3114.68 | Predicted value: 3124.2191387778694
Real value: 2537.26 | Predicted value: 2507.163454676351
Real value: 5426.81 | Predicted value: 5475.364133413504
Real value: 5867.76 | Predicted value: 5937.233059274545
Real value: 5545.11 | Predicted value: 5561.464836376391
Real value: 2871.29 | Predicted value: 2865.0914327147484
Real value: 4333.94 | Predicted value: 4287.697178204594
Real value: 5566.34 | Predicted value: 5642.754950372964
Real value: 3762.95 | Predicted value: 3744.494889898532
Real value: 2316.5 | Predicted value: 2293.394595571706
Real value: 3451.51 | Predicted value: 3517.128590061287
Real value: 5841.71 | Predicted value: 5904.107667217662
Real value: 6355.79 | Predicted value: 6445.3141672033435
Real value: 4379.76 | Predicted value: 4349.179688476288
Real value: 3818.88 | Predicted value: 3839.490428634752
Real value: 2498.69 | Predicted value: 2433.718881997157
Real value: 3813.6899999999996 | Predicted value: 3857.4655947945266
Real value: 6547.15 | Predicted value: 6607.757223242117
Real value: 6106.92 | Predicted value: 6218.022621710794
Real value: 2718.5 | Predicted value: 2707.891704883138
Real value: 4117.9 | Predicted value: 4020.62162365353
Real value: 4260.63 | Predicted value: 4280.386140791902
Real value: 5724.7 | Predicted value: 5778.630105163116
Real value: 4567.91 | Predicted value: 4531.885464852031
Real value: 2445.67 | Predicted value: 2419.581028273215
Real value: 1704.59 | Predicted value: 1827.2948421501349
Real value: 3756.2799999999997 | Predicted value: 3772.2755070752473
Real value: 6235.34 | Predicted value: 6331.154431334046
Real value: 1808.24 | Predicted value: 1925.9994563972173
Real value: 3232.65 | Predicted value: 3279.0327294061262
Real value: 4151.46 | Predicted value: 4157.845606669864
Real value: 3788.2799999999997 | Predicted value: 3857.973296152968
Real value: 1916.21 | Predicted value: 1935.592571081352
Real value: 5038.520000000001 | Predicted value: 5077.694241817335
Real value: 2971.63 | Predicted value: 2954.302757716584
Real value: 2020.14 | Predicted value: 2006.1312835678991
Real value: 2932.27 | Predicted value: 2927.6536895112804
Real value: 6351.92 | Predicted value: 6432.541664048579
Real value: 3302.26 | Predicted value: 3314.5427655393705
Real value: 3160.3500000000004 | Predicted value: 3206.2875527930673
Real value: 6052.62 | Predicted value: 6156.4453086960175
Real value: 5669.320000000001 | Predicted value: 5746.054231502607
Real value: 7004.26 | Predicted value: 6909.722259660032
Real value: 4212.27 | Predicted value: 4269.262057030445
Real value: 2633.21 | Predicted value: 2614.039255010149
Real value: 6432.8 | Predicted value: 6508.973838529682
Real value: 2781.02 | Predicted value: 2774.9712782030033
Real value: 3479.58 | Predicted value: 3518.732602065702
Real value: 5098.97 | Predicted value: 5137.472534654876
Real value: 2614.44 | Predicted value: 2594.1502460747315
Real value: 5899.36 | Predicted value: 5951.481277974317
Real value: 3827.62 | Predicted value: 3841.318562146035
Real value: 6533.29 | Predicted value: 6596.358109677089
Real value: 3860.6399999999994 | Predicted value: 3833.4490876614336
Real value: 6180.53 | Predicted value: 6265.129818536778
Real value: 2215.72 | Predicted value: 2181.8744728313854
Real value: 5645.89 | Predicted value: 5615.494800777886
Real value: 3630.9799999999996 | Predicted value: 3560.376672618728
Real value: 4902.93 | Predicted value: 4925.955102267255
Real value: 5791.08 | Predicted value: 5846.495617058942
Real value: 3178.81 | Predicted value: 3212.66618728056
Real value: 5267.49 | Predicted value: 5242.956534076946
Real value: 4157.42 | Predicted value: 4212.5430437126315
Real value: 4980.6 | Predicted value: 4946.292797990224
Real value: 3079.6 | Predicted value: 3100.5950010987326
Real value: 6756.95 | Predicted value: 6763.191677791261
Error rate: 0.7617614162341013
