Train data: data/Train1.txt
Max epochs: 100000
Execution time: 56.564
Test data: data/Test1.txt
Network{LEARNING_RATE=0.5, nInputNodes=4, nHiddenLayers=2, hiddenLayersSizes=[3, 3]}
Real value: 4720.58 | Predicted value: 4934.412965882251
Real value: 4547.82 | Predicted value: 4444.920369879925
Real value: 2110.13 | Predicted value: 2139.8903237553977
Real value: 2099.1 | Predicted value: 2117.046911148805
Real value: 2983.61 | Predicted value: 2984.5325009377057
Real value: 2928.11 | Predicted value: 2894.43683507087
Real value: 2553.33 | Predicted value: 2543.99609308078
Real value: 4071.73 | Predicted value: 4012.0771478849742
Real value: 2927.26 | Predicted value: 2934.0603147390416
Real value: 1891.3 | Predicted value: 1942.6412096285933
Real value: 2261.61 | Predicted value: 2247.398332615591
Real value: 1860.57 | Predicted value: 1898.3697629555745
Real value: 2864.24 | Predicted value: 2851.3817884452737
Real value: 5529.529999999999 | Predicted value: 5523.150731036282
Real value: 4422.22 | Predicted value: 4328.454828779211
Real value: 4555.88 | Predicted value: 4542.0078030774275
Real value: 2792.27 | Predicted value: 2795.6528222762545
Real value: 4905.550000000001 | Predicted value: 4892.55404061692
Real value: 3347.5 | Predicted value: 3493.5996608715996
Real value: 4272.72 | Predicted value: 4276.047535809893
Real value: 4634.290000000001 | Predicted value: 4569.468158432024
Real value: 1826.08 | Predicted value: 1901.748251072445
Real value: 2620.27 | Predicted value: 2603.788637553134
Real value: 2015.06 | Predicted value: 2036.248018059266
Real value: 3401.42 | Predicted value: 3434.8949288937656
Real value: 4701.279999999999 | Predicted value: 4648.851248632532
Real value: 2221.16 | Predicted value: 2152.276966281187
Real value: 1874.52 | Predicted value: 1931.0296409003327
Real value: 3854.35 | Predicted value: 3876.445382378401
Real value: 3177.33 | Predicted value: 3185.368658908676
Real value: 2290.13 | Predicted value: 2275.182775584681
Real value: 2810.69 | Predicted value: 2802.4490198350104
Real value: 6831.87 | Predicted value: 6694.773831224861
Real value: 4584.379999999999 | Predicted value: 4589.458984107746
Real value: 6012.87 | Predicted value: 6028.159008986415
Real value: 4932.18 | Predicted value: 4851.634098924371
Real value: 3914.74 | Predicted value: 3908.3598205879275
Real value: 2055.25 | Predicted value: 2078.61580304117
Real value: 5099.53 | Predicted value: 4984.855222917877
Real value: 3372.41 | Predicted value: 3383.746512002347
Real value: 3990.55 | Predicted value: 4002.725116779538
Real value: 3362.1399999999994 | Predicted value: 3371.2320191311674
Real value: 4535.03 | Predicted value: 4451.910622870142
Real value: 3076.49 | Predicted value: 3067.602045130606
Real value: 4428.65 | Predicted value: 4449.373140110715
Real value: 1675.16 | Predicted value: 1823.544317469346
Real value: 6604.63 | Predicted value: 6555.3001698280395
Real value: 2299.16 | Predicted value: 2218.9619878580506
Real value: 3537.4 | Predicted value: 3593.4353658772397
Real value: 3335.45 | Predicted value: 3377.9102283108286
Real value: 7255.22 | Predicted value: 6834.362135075251
Real value: 6601.37 | Predicted value: 6552.581842472668
Real value: 1957.51 | Predicted value: 1991.456380911307
Real value: 3755.61 | Predicted value: 3887.7280647771736
Real value: 4135.26 | Predicted value: 4085.4269267968602
