Train data: data/Train1.txt
Max epochs: 10000
Execution time: 9.493
Test data: data/Test1.txt
Network{LEARNING_RATE=0.5, nInputNodes=4, nHiddenLayers=4, hiddenLayersSizes=[3, 2, 3, 2]}
Real value: 4720.58 | Predicted value: 4343.156096746735
Real value: 4547.82 | Predicted value: 4271.079221329012
Real value: 2110.13 | Predicted value: 2308.3109130333396
Real value: 2099.1 | Predicted value: 2266.2996969658057
Real value: 2983.61 | Predicted value: 3135.6921952029534
Real value: 2928.11 | Predicted value: 2579.2501192068758
Real value: 2553.33 | Predicted value: 2764.8251251720103
Real value: 4071.73 | Predicted value: 4168.236457025243
Real value: 2927.26 | Predicted value: 3035.5546906249647
Real value: 1891.3 | Predicted value: 2048.6553249596927
Real value: 2261.61 | Predicted value: 2363.447318770717
Real value: 1860.57 | Predicted value: 2035.0759444634516
Real value: 2864.24 | Predicted value: 2800.840755017053
Real value: 5529.529999999999 | Predicted value: 4343.773754530113
Real value: 4422.22 | Predicted value: 4295.853155182091
Real value: 4555.88 | Predicted value: 4324.024113745807
Real value: 2792.27 | Predicted value: 2768.3727263095543
Real value: 4905.550000000001 | Predicted value: 4343.806636573955
Real value: 3347.5 | Predicted value: 4078.6332238394984
Real value: 4272.72 | Predicted value: 4258.282487673061
Real value: 4634.290000000001 | Predicted value: 4313.982084842126
Real value: 1826.08 | Predicted value: 2058.665477555048
Real value: 2620.27 | Predicted value: 2602.8608961181335
Real value: 2015.06 | Predicted value: 2163.6507423615462
Real value: 3401.42 | Predicted value: 3548.924736958833
Real value: 4701.279999999999 | Predicted value: 4318.510871832055
Real value: 2221.16 | Predicted value: 2139.1789627427816
Real value: 1874.52 | Predicted value: 2078.1084846940967
Real value: 3854.35 | Predicted value: 3941.245431215514
Real value: 3177.33 | Predicted value: 2892.786005833428
Real value: 2290.13 | Predicted value: 2389.370349746216
Real value: 2810.69 | Predicted value: 2757.0960112046832
Real value: 6831.87 | Predicted value: 4343.9291816638015
Real value: 4584.379999999999 | Predicted value: 4267.208576835972
Real value: 6012.87 | Predicted value: 4343.873043650567
Real value: 4932.18 | Predicted value: 4317.674179821634
Real value: 3914.74 | Predicted value: 3845.1093056828445
Real value: 2055.25 | Predicted value: 2210.944295814067
Real value: 5099.53 | Predicted value: 4343.514565184629
Real value: 3372.41 | Predicted value: 3505.8383913054886
Real value: 3990.55 | Predicted value: 4050.9012271044407
Real value: 3362.1399999999994 | Predicted value: 3041.4996224165857
Real value: 4535.03 | Predicted value: 4329.722187755846
Real value: 3076.49 | Predicted value: 3342.0287790496004
Real value: 4428.65 | Predicted value: 4228.561883425554
Real value: 1675.16 | Predicted value: 2010.0511984604539
Real value: 6604.63 | Predicted value: 4343.89936746188
Real value: 2299.16 | Predicted value: 2170.819705132325
Real value: 3537.4 | Predicted value: 3592.5383475396684
Real value: 3335.45 | Predicted value: 3447.3605709318363
Real value: 7255.22 | Predicted value: 4343.939787615716
Real value: 6601.37 | Predicted value: 4343.920899292254
Real value: 1957.51 | Predicted value: 2123.2207820609838
Real value: 3755.61 | Predicted value: 4282.81077350048
Real value: 4135.26 | Predicted value: 4188.311888476712
Real value: 5183.31 | Predicted value: 4343.5882487489
Real value: 2686.52 | Predicted value: 2678.6053093819482
Real value: 5823.6 | Predicted value: 4343.843994563885
Real value: 3998.5 | Predicted value: 3885.9412435955983
Real value: 4029.4 | Predicted value: 4032.020173669137
Real value: 3737.94 | Predicted value: 3822.8855315780543
Real value: 3012.15 | Predicted value: 2987.2025731253643
Real value: 2597.17 | Predicted value: 2373.616700467603
Real value: 5374.17 | Predicted value: 4343.154790075816
Real value: 3934.4 | Predicted value: 3965.5140634629433
Real value: 2055.79 | Predicted value: 2211.9296554378016
Real value: 2541.98 | Predicted value: 2296.751224227942
Real value: 4469.14 | Predicted value: 4247.732230033178
Real value: 2757.12 | Predicted value: 2472.397982610199
Real value: 7094.76 | Predicted value: 4343.939194390854
Real value: 2726.64 | Predicted value: 2673.1632945913343
Real value: 2359.34 | Predicted value: 2206.567843879077
Real value: 5518.44 | Predicted value: 4343.885974454601
Real value: 3927.28 | Predicted value: 4010.405521707769
Real value: 2494.59 | Predicted value: 2311.3714776657953
Real value: 5707.359999999999 | Predicted value: 4343.087237436113
Real value: 1996.27 | Predicted value: 2149.4678149221504
Real value: 6913.55 | Predicted value: 4343.931162941335
Real value: 5213.25 | Predicted value: 4340.667082408299
Real value: 5044.97 | Predicted value: 4327.153254703579
Real value: 2637.73 | Predicted value: 2346.6132683785545
Real value: 5919.28 | Predicted value: 4343.859863655889
Real value: 5353.22 | Predicted value: 4343.698761124628
Real value: 4703.02 | Predicted value: 4339.371053997451
Real value: 3897.86 | Predicted value: 4043.524680236412
Real value: 1849.71 | Predicted value: 2049.5039727072794
Real value: 6682.03 | Predicted value: 4343.924123563819
Real value: 2863.83 | Predicted value: 2826.615684792866
Real value: 5497.43 | Predicted value: 4342.419212171231
Real value: 4346.1900000000005 | Predicted value: 4201.809200426912
Real value: 2120.8 | Predicted value: 2114.526800569045
Real value: 1851.07 | Predicted value: 2068.155566292392
Real value: 3065.99 | Predicted value: 3659.546287753268
Real value: 5727.92 | Predicted value: 4342.5775759140115
Real value: 4265.8 | Predicted value: 4175.912680386682
Real value: 3124.13 | Predicted value: 3137.0015593061194
Real value: 3422.18 | Predicted value: 3813.265087426204
Real value: 4899.39 | Predicted value: 4341.880597900819
Real value: 5356.86 | Predicted value: 4341.7059188615685
Real value: 7261.37 | Predicted value: 4343.940306187258
Real value: 4147.68 | Predicted value: 4090.338998173875
Error rate: 9.816750690954077
