Train data: data/Train3.txt
Max epochs: 10000
Execution time: 10.524
Test data: data/Test3.txt
Network{LEARNING_RATE=0.5, nInputNodes=4, nHiddenLayers=4, hiddenLayersSizes=[3, 2, 3, 2]}
Real value: 2754.26 | Predicted value: 2767.4794064109033
Real value: 3366.4299999999994 | Predicted value: 3302.1207608577215
Real value: 6919.41 | Predicted value: 4468.255891485791
Real value: 2846.31 | Predicted value: 2826.8952642039285
Real value: 2147.58 | Predicted value: 2091.3116084284943
Real value: 3776.3099999999995 | Predicted value: 3748.1371165634882
Real value: 2935.76 | Predicted value: 2963.089377035564
Real value: 1994.79 | Predicted value: 1951.604434509115
Real value: 3949.3599999999997 | Predicted value: 3897.7580166278694
Real value: 5155.08 | Predicted value: 4467.406166433388
Real value: 3492.4400000000005 | Predicted value: 3461.2388305838913
Real value: 3585.5 | Predicted value: 3559.165346563229
Real value: 2491.94 | Predicted value: 2462.6721602455164
Real value: 3890.6899999999996 | Predicted value: 3854.7218562528187
Real value: 3887.5 | Predicted value: 3949.7538558468086
Real value: 6180.17 | Predicted value: 4468.236802981646
Real value: 5187.13 | Predicted value: 4467.087092621739
Real value: 3196.23 | Predicted value: 3188.4062554767806
Real value: 3156.0 | Predicted value: 3143.631316160674
Real value: 2424.09 | Predicted value: 2388.214887155041
Real value: 3321.1900000000005 | Predicted value: 3298.226285675254
Real value: 5263.200000000001 | Predicted value: 4467.732024364223
Real value: 2438.06 | Predicted value: 2380.4644460907375
Real value: 3657.27 | Predicted value: 3628.2123633843166
Real value: 1717.89 | Predicted value: 1851.5656991652854
Real value: 3275.22 | Predicted value: 3258.011071551452
Real value: 1825.74 | Predicted value: 1870.4911176470534
Real value: 2872.73 | Predicted value: 2879.2347440650874
Real value: 2990.32 | Predicted value: 3011.253301861333
Real value: 3464.56 | Predicted value: 3358.99572698436
Real value: 2453.44 | Predicted value: 2371.4371191309237
Real value: 1962.86 | Predicted value: 1931.552152198231
Real value: 5458.55 | Predicted value: 4467.9678478678425
Real value: 3421.99 | Predicted value: 3384.9516090878583
Real value: 3114.68 | Predicted value: 3117.352691101926
Real value: 2537.26 | Predicted value: 2505.3572075434704
Real value: 5426.81 | Predicted value: 4467.995652811949
Real value: 5867.76 | Predicted value: 4468.2059118564575
Real value: 5545.11 | Predicted value: 4468.063561140828
Real value: 2871.29 | Predicted value: 2894.9302538911825
Real value: 4333.94 | Predicted value: 4322.430762198047
Real value: 5566.34 | Predicted value: 4468.122879766838
Real value: 3762.95 | Predicted value: 3685.0075814292163
Real value: 2316.5 | Predicted value: 2273.359884023539
Real value: 3451.51 | Predicted value: 3419.917617045816
Real value: 5841.71 | Predicted value: 4468.206562058325
Real value: 6355.79 | Predicted value: 4468.245785618375
Real value: 4379.76 | Predicted value: 4325.190908838299
Real value: 3818.88 | Predicted value: 3816.36462832893
Real value: 2498.69 | Predicted value: 2428.522816923903
Real value: 3813.6899999999996 | Predicted value: 3785.494240255237
Real value: 6547.15 | Predicted value: 4468.250842724143
Real value: 6106.92 | Predicted value: 4468.236512799657
Real value: 2718.5 | Predicted value: 2732.5871923974705
Real value: 4117.9 | Predicted value: 3989.3300574609257
Real value: 4260.63 | Predicted value: 4303.791357605481
Real value: 5724.7 | Predicted value: 4468.166582497508
Real value: 4567.91 | Predicted value: 4426.3813254396855
Real value: 2445.67 | Predicted value: 2414.3414820710364
Real value: 1704.59 | Predicted value: 1843.5758396590286
Real value: 3756.2799999999997 | Predicted value: 3732.5648249815877
Real value: 6235.34 | Predicted value: 4468.242514153529
Real value: 1808.24 | Predicted value: 1972.4162194364937
Real value: 3232.65 | Predicted value: 3211.5480733249556
Real value: 4151.46 | Predicted value: 4177.799552072161
Real value: 3788.2799999999997 | Predicted value: 3820.3819997804285
Real value: 1916.21 | Predicted value: 1943.641483133965
Real value: 5038.520000000001 | Predicted value: 4466.560566665288
Real value: 2971.63 | Predicted value: 2980.9882810166555
Real value: 2020.14 | Predicted value: 1967.6109020036363
Real value: 2932.27 | Predicted value: 2958.124100297622
Real value: 6351.92 | Predicted value: 4468.24568086578
Real value: 3302.26 | Predicted value: 3267.3908824911414
Real value: 3160.3500000000004 | Predicted value: 3159.339830105742
Real value: 6052.62 | Predicted value: 4468.232315104027
Real value: 5669.320000000001 | Predicted value: 4468.1712487579125
Real value: 7004.26 | Predicted value: 4468.256623636194
Real value: 4212.27 | Predicted value: 4301.885290666522
Real value: 2633.21 | Predicted value: 2632.940783303453
Real value: 6432.8 | Predicted value: 4468.248303666487
Real value: 2781.02 | Predicted value: 2797.6215984865767
Real value: 3479.58 | Predicted value: 3440.404986909217
Real value: 5098.97 | Predicted value: 4467.142976550505
Real value: 2614.44 | Predicted value: 2586.479917020926
Real value: 5899.36 | Predicted value: 4468.213648131749
Real value: 3827.62 | Predicted value: 3799.0128277439735
Real value: 6533.29 | Predicted value: 4468.250968294721
Real value: 3860.6399999999994 | Predicted value: 3789.1265581187854
Real value: 6180.53 | Predicted value: 4468.237728126327
Real value: 2215.72 | Predicted value: 2131.4502988737236
Real value: 5645.89 | Predicted value: 4468.087398079036
Real value: 3630.9799999999996 | Predicted value: 3419.374343771278
Real value: 4902.93 | Predicted value: 4464.213259393551
Real value: 5791.08 | Predicted value: 4468.188259242957
Real value: 3178.81 | Predicted value: 3176.4425107069824
Real value: 5267.49 | Predicted value: 4467.434597953452
Real value: 4157.42 | Predicted value: 4255.038100717568
Real value: 4980.6 | Predicted value: 4464.514547543381
Real value: 3079.6 | Predicted value: 3090.639986829311
Real value: 6756.95 | Predicted value: 4468.2543455559735
Error rate: 8.436285508731256
