Train data: data/Train4.txt
Max epochs: 10000
Execution time: 10.175
Test data: data/Test4.txt
Network{LEARNING_RATE=0.5, nInputNodes=4, nHiddenLayers=4, hiddenLayersSizes=[3, 2, 3, 2]}
Real value: 2512.85 | Predicted value: 2847.9920826212283
Real value: 2583.79 | Predicted value: 3024.1363804423386
Real value: 3748.7699999999995 | Predicted value: 3557.8121020071408
Real value: 3520.65 | Predicted value: 3445.3110817485294
Real value: 6673.84 | Predicted value: 4468.101634112746
Real value: 4533.31 | Predicted value: 4396.428503795699
Real value: 3402.3099999999995 | Predicted value: 3241.571585050412
Real value: 2029.03 | Predicted value: 2116.1185489485215
Real value: 2702.84 | Predicted value: 2466.0565332423466
Real value: 4047.41 | Predicted value: 4036.683531247608
Real value: 2506.19 | Predicted value: 2531.9699287088624
Real value: 2272.25 | Predicted value: 2291.7524418179064
Real value: 2930.92 | Predicted value: 2791.725982153748
Real value: 3196.87 | Predicted value: 3272.3649966076036
Real value: 3934.63 | Predicted value: 3921.3209930554613
Real value: 4498.27 | Predicted value: 4444.465499404542
Real value: 1753.19 | Predicted value: 1928.5737455160036
Real value: 3050.21 | Predicted value: 3130.957179508223
Real value: 5785.19 | Predicted value: 4467.814483336672
Real value: 3533.24 | Predicted value: 3488.2409767659287
Real value: 6318.53 | Predicted value: 4468.070779913472
Real value: 2260.59 | Predicted value: 2068.446420506425
Real value: 4386.78 | Predicted value: 4377.43424854883
Real value: 5950.95 | Predicted value: 4468.017558628601
Real value: 5370.96 | Predicted value: 4466.926439841314
Real value: 2342.83 | Predicted value: 2521.701593196254
Real value: 2315.89 | Predicted value: 2133.489737281766
Real value: 4838.78 | Predicted value: 4454.371914690352
Real value: 3229.58 | Predicted value: 3312.425253168615
Real value: 3033.93 | Predicted value: 3292.221438168578
Real value: 3664.19 | Predicted value: 3741.084631959503
Real value: 2069.21 | Predicted value: 2194.776817792791
Real value: 5775.22 | Predicted value: 4467.888038954483
Real value: 5471.250000000001 | Predicted value: 4467.304730331044
Real value: 5062.02 | Predicted value: 4466.896006652645
Real value: 5286.39 | Predicted value: 4467.4231089974755
Real value: 1729.06 | Predicted value: 1921.1281873587277
Real value: 5843.72 | Predicted value: 4467.918675489769
Real value: 3263.8100000000004 | Predicted value: 3171.649636367812
Real value: 3511.37 | Predicted value: 3643.9978088670086
Real value: 2176.83 | Predicted value: 2281.610307573307
Real value: 2956.54 | Predicted value: 3189.417725425664
Real value: 2915.86 | Predicted value: 3448.300511523026
Real value: 5975.71 | Predicted value: 4467.967514117855
Real value: 4768.88 | Predicted value: 4460.2967371509585
Real value: 3243.23 | Predicted value: 3519.366938513439
Real value: 3474.88 | Predicted value: 3275.2802623058924
Real value: 2182.38 | Predicted value: 2034.7694229003528
Real value: 3076.83 | Predicted value: 3247.653325361763
Real value: 3410.17 | Predicted value: 3380.5141745687642
Real value: 2189.37 | Predicted value: 2104.371817839818
Real value: 1896.03 | Predicted value: 1943.7647759239453
Real value: 2232.56 | Predicted value: 2354.48179811286
Real value: 4719.66 | Predicted value: 4467.2685596939455
Real value: 3056.77 | Predicted value: 3325.291346965594
Real value: 4003.13 | Predicted value: 4084.2880579063003
Real value: 5748.63 | Predicted value: 4468.093390524962
Real value: 4286.12 | Predicted value: 4447.221923039122
Real value: 3128.95 | Predicted value: 3177.7366685387656
Real value: 2266.22 | Predicted value: 2117.929812968359
Real value: 2098.99 | Predicted value: 2009.1364504814708
Real value: 2995.04 | Predicted value: 3215.2489971509826
Real value: 5280.98 | Predicted value: 4468.065928983928
Real value: 2375.01 | Predicted value: 2407.087776338954
Real value: 4720.17 | Predicted value: 4465.195289351987
Real value: 2721.77 | Predicted value: 2866.5038154657136
Real value: 4639.37 | Predicted value: 4461.164679110722
Real value: 1766.92 | Predicted value: 2341.7388319899105
Real value: 3639.8 | Predicted value: 3566.0097544362125
Real value: 1976.96 | Predicted value: 2053.44878164636
Real value: 3365.15 | Predicted value: 3347.394757039431
Real value: 5316.82 | Predicted value: 4466.657695684538
Real value: 2553.75 | Predicted value: 2627.0334848472576
Real value: 2749.37 | Predicted value: 2906.890546873898
Real value: 2394.82 | Predicted value: 2613.197656265097
Real value: 6816.53 | Predicted value: 4468.134741241546
Real value: 2470.63 | Predicted value: 2754.501214891107
Real value: 3545.42 | Predicted value: 3308.4596469679873
Real value: 6642.82 | Predicted value: 4468.1302907099125
Real value: 4214.1 | Predicted value: 4194.044849230137
Real value: 2141.61 | Predicted value: 2020.8623765073517
Real value: 4881.38 | Predicted value: 4457.689077727234
Real value: 2519.34 | Predicted value: 2580.706312114283
Real value: 3025.13 | Predicted value: 2737.1256243969447
Real value: 5636.520000000001 | Predicted value: 4467.809425058695
Real value: 5420.9 | Predicted value: 4467.137493865034
Real value: 3689.1400000000003 | Predicted value: 3608.4173983563796
Real value: 4639.32 | Predicted value: 4426.142718300516
Real value: 4789.540000000001 | Predicted value: 4449.9420844453925
Real value: 3587.92 | Predicted value: 3691.1108476551717
Real value: 4193.77 | Predicted value: 4440.458989729007
Real value: 1790.54 | Predicted value: 1928.1959502917912
Real value: 5924.78 | Predicted value: 4468.103536585327
Real value: 2813.04 | Predicted value: 2702.014539319719
Real value: 2206.12 | Predicted value: 2317.0525046807
Real value: 4481.25 | Predicted value: 4375.661812054182
Real value: 2086.52 | Predicted value: 2187.708515699042
Real value: 3933.38 | Predicted value: 4420.051328928783
Real value: 6267.8 | Predicted value: 4468.095025094006
Real value: 3496.89 | Predicted value: 3592.7718868699167
Error rate: 7.218018077705553
